ui	162	385	 schuit 	 ambassadeui 	 gouinck 
mt	73	384	 omtrent 	 'omtrent 	 ruymte 
tv	92	375	 santvoort 	 uytval 	 uytvercoren 
tg	164	375	 goetgevonden 	 avantguarde 	 dootgescholen 
nl	190	374	 preminenlien 	 mandamenlen 	 gelegenlheyt 
vy	55	370	 vyanden 	 vyfligh,soo 	 advys 
c 	85	361	 etc 	 uwc 	 hoc 
oi	145	360	 oirsaecke 	 comptoirs 	 cleynoilien 
fi	185	356	 fieren 	 firmalie 	 ffi 
ki	116	348	 kinderen 	 arrackie 	 geluckige 
 7	59	344	 7 	 75648 	 79756 
sw	82	338	 swaeren 	 swarte 	 swarten 
tj	115	336	 bootjen 	 tonsitja 	 pitjens 
9 	73	318	 29 	 209 	 19 
ci	136	317	 principalen 	 geconcipieerde 	 artiflciele 
ms	99	315	 willemsz 	 roomse 	 blixems-vuer 
dv	59	312	 adviseert 	 advance 	 advys 
lh	80	311	 gelegenlheyt 	 alhoewel 	 gebelh 
cb	203	310	 choromandelscbe 	 scbuldigh 	 gantscben 
ak	59	309	 geraken 	 ak 	 welgaka 
50	56	303	 50 	 150 	 500 
zy	25	298	 zyn 	 zynde 	 zyne 
oy	92	297	 oyt 	 noyt 	 coyangh 
12	69	296	 1125 	 12 	 1263 
ob	90	291	 jacob 	 schobbejacken 	 probeeren 
nw	75	281	 jegenwoordigh 	 jegenwoordigen 	 inwoonderen 
lf	67	277	 elff 	 halff 	 desselffs 
ju	47	265	 juny 	 juweelen 	 july 
30	44	263	 30 	 13054:8:2 	 300 
ex	92	259	 excuseert 	 alexanders 	 (extreme 
fa	125	258	 faveur 	 facyl 	 facetwerck 
dj	55	254	 maradja 	 radja 	 bidje 
b 	116	252	 jacob 	 1b 	 bemachtingb 
ah	75	250	 pahangh 	 braham 	 eerlahgh 
fo	91	249	 reformatie 	 informatie 	 forcenburgh 
nv	117	248	 invaderen 	 onverslandigh 	 onverstandigh 
oa	73	248	 joan 	 jangounauvoan 	 goa 
40	45	247	 1400 	 40 	 15401 
vl	87	245	 vlyt 	 overvloet 	 vlote 
lp	51	241	 solpher 	 hulpe 	 helpeh 
ai	132	239	 aiïairen 	 bataille 	 magaitcha 
15	62	238	 150 	 15 	 15401 
eq	69	238	 gequesten 	 bequamen 	 gequetsten 
cq	91	237	 leecq 	 tolcq 	 trocqueren 
um	91	232	 sumatra 	 sumalras 	 gecorumpeert 
tl	108	231	 ditlos 	 musquetlen 	 namentlyck 
fs	58	226	 nederlanfsche 	 vergeeffs 	 affscheyt 
eo	102	217	 geordonneert 	 geordonneerden 	 geoordeelt 
rj	53	215	 aerjvruchten 	 bacarj 	 ciborj 
yo	40	214	 n^yoor 	 mayoor 	 durramayo 
fg	102	214	 affgeslooffde 	 affgestorvene 	 affgaende 
yf	80	209	 blyft 	 vyfligh,soo 	 vyff 
rp	75	206	 geworpen 	 legerplaets 	 scharp 
's	22	203	 's 	 limoury's 	 vei'slaen 
 9	45	203	 95 	 90 	 9 
ps	89	201	 compsle 	 bontemps 	 affcompste 
nh	60	192	 inhoudt 	 inhout 	 inhabitanten 
16	58	192	 1641 	 16 	 5168 
if	103	189	 schrift 	 schriftelycke 	 artiflciele 
nb	111	187	 daerenboven 	 inbeeldende 	 onbeschamelyck 
ny	55	184	 juny 	 anthony 	 snyt 
t'	7	183	 t' 	 int'heymelyck 	 ext'raordinarie 
mu	73	182	 mueren 	 musquettiers 	 musquetteryen 
dy	46	182	 waerdye 	 mardyckers 	 ady 
60	44	180	 60 	 600 	 4600 
11	67	178	 1125 	 112 	 1211 
md	51	178	 vnmden 	 genoemde 	 omdat 
25	38	177	 1125 	 252627 	 254 
tb	79	170	 ontbloot 	 partbye 	 ontbieden 
13	64	169	 13:2 	 133 	 13054:8:2 
w 	60	168	 ontrouw 	 balouw 	 nassouw 
gb	100	166	 bemachtingb 	 gangbaer 	 ondienstigb 
tx	3	166	 stx 	 12stx 	 4^tx 
fd	49	165	 brieffden 	 gelieffden 	 gelieffde 
14	52	165	 14 	 /'64145 	 1400 
sm	72	164	 chryghsmacht 	 stadsmueren 	 geësmalteert 
yr	59	163	 duyren 	 buyren 	 uyr 
ka	57	157	 orangkaya 	 orangkays 	 kaertekoe 
18	50	157	 18 	 18273.8.6 	 188 
ze	47	155	 zee 	 zeylei 	 zeehavens 
sn	62	153	 misnoegende 	 snyt 	 misnoegen 
pg	79	153	 opgehouden 	 opgenomen 	 opgesonden 
bt	84	153	 hebt 	 geobtineert 	 waeracbtigh 
ks	69	151	 dancksegginge 	 turckse 	 vandekerckstraet 
oh	27	151	 johor 	 johoriten 	 johorit 
17	57	150	 17 	 11713.4.8 	 28617.11.8 
bh	21	149	 bhaer 	 bharent 	 bharen 
tn	45	149	 ontnomen 	 sietniet 	 uytnemende 
80	46	148	 80 	 800 	 8088.4 
pu	64	147	 reputatie 	 purpre 	 opulent 
fr	60	146	 fregat 	 frequenterende 	 franse 
sd	48	140	 alsdan 	 alsdoen 	 desdve 
lj	53	138	 giljou 	 hgaljot 	 loffelj 
up	66	135	 troupen 	 troup 	 chaloupen 
nj	51	135	 wawanj 	 oranj^icaya 	 panjangh 
(d	18	131	 (die 	 (door 	 (dat 
aa	75	130	 grraans 	 staat 	 aanbrengende 
 ü	21	130	 ü.e 	 üe 	 ü 
